Date,Species,ID,Treatment,DaysPost,SUL,Mass
10.10.14,Bullfrog,9,Carter,NA,45,9.1
10.10.14,Bullfrog,30,Carter,NA,43,8.29
10.10.14,Bullfrog,36,Carter,NA,37,4.96
10.10.14,Bullfrog,60,Carter,NA,39,5.69
10.10.14,Bullfrog,83,Carter,NA,41,6.81
10.10.14,Bullfrog,1,Control,Pre,54,15.29
10.10.14,Bullfrog,3,Control,Pre,44,7.78
10.10.14,Bullfrog,6,Control,Pre,43,8.33
10.10.14,Bullfrog,8,Control,Pre,42,7.58
10.10.14,Bullfrog,11,Control,Pre,45,8.73
10.10.14,Bullfrog,12,Control,Pre,49,10.78
10.10.14,Bullfrog,15,Control,Pre,41,6.55
10.10.14,Bullfrog,21,Control,Pre,59,16.04
10.10.14,Bullfrog,23,Control,Pre,50,10.59
10.10.14,Bullfrog,28,Control,Pre,42,6.09
10.10.14,Bullfrog,42,Control,Pre,37,4.76
10.10.14,Bullfrog,43,Control,Pre,39,4.78
10.10.14,Bullfrog,44,Control,Pre,37,4.84
10.10.14,Bullfrog,45,Control,Pre,46,8.77
10.10.14,Bullfrog,53,Control,Pre,47,10.22
10.10.14,Bullfrog,54,Control,Pre,40,5.46
10.10.14,Bullfrog,58,Control,Pre,36,4.76
10.10.14,Bullfrog,61,Control,Pre,42,7.65
10.10.14,Bullfrog,66,Control,Pre,40,5.37
10.10.14,Bullfrog,68,Control,Pre,39,5.69
10.10.14,Bullfrog,73,Control,Pre,44,8.34
10.10.14,Bullfrog,78,Control,Pre,34,3.99
10.10.14,Bullfrog,86,Control,Pre,34,3.78
10.10.14,Bullfrog,87,Control,Pre,39,5.69
10.10.14,Bullfrog,90,Control,Pre,39,4.66
10.10.14,Bullfrog,91,Control,Pre,34,3.75
10.10.14,Bullfrog,92,Control,Pre,29,2.31
10.10.14,Bullfrog,97,Control,Pre,33,3.17
10.10.14,Bullfrog,101,Control,Pre,32,2.79
10.10.14,Bullfrog,102,Control,Pre,31,1.97
10.10.14,Bullfrog,103,Control,Pre,33,3.78
10.10.14,Bullfrog,110,Control,Pre,46,10.5
10.10.14,Bullfrog,111,Control,Pre,37,4.38
10.10.14,Bullfrog,113,Control,Pre,36,5.43
10.10.14,Bullfrog,117,Control,Pre,39,5.95
10.10.14,Bullfrog,2,SectionLine,Pre,47,9.03
10.10.14,Bullfrog,4,SectionLine,Pre,47,9.9
