Sample	Screening_Percent_Discarded	Deduper_Percent_Discarded	Deduper_Percent_Duplicates	Sickle_Percent_Pairs_Kept	Sickle_Percent_Pairs_Split	Sickle_R1_BP_Left_Removed_Scaled	Sickle_R1_BP_Right_Removed_Scaled	Sickle_R2_BP_Left_Removed_Scaled	Sickle_R2_BP_Right_Removed_Scaled	Innie_Combined_Percent	Percent_Combined	Short_Percent_PE_Kept	Short_Percent_SE_Kept	R1_Ave_Len	R2_Ave_Len	PE_Percent_Kept	SE_Percent_Kept
SampleA01	0.044115948	0.141177792	94.54	81.81851023	18.09583292	0.033374864	2.84050967	0.333047409	1.654696115	89.46	21.26	90.73393667	95.54322589	99.24	97.28	3.183240382	1.846694612
SampleA02	0.038571487	0.118603061	90.11	88.20677539	11.73924198	0.025341791	2.167662548	0.215123862	1.369295522	91.1	21.02	93.67567057	96.27819561	99.37	98.11	6.44077707	2.877651807
SampleA03	0.035187089	0.124356356	94.49	81.43705391	18.47612627	0.034368027	2.573218882	0.313782576	1.335267592	88.86	17.46	91.37446076	95.3870161	99.38	97.43	3.377220197	1.714704098
SampleA04	0.039581266	0.139466618	94.81	81.20764756	18.71166769	0.03530522	2.642393064	0.322959043	1.489657682	88.94	19.84	90.7124795	95.70807627	99.31	97.29	3.059501766	1.72666695
SampleA05	0.037832577	0.081091934	73.62	93.60187249	6.368903887	0.017997205	1.339119156	0.118286396	0.901640295	90.47	15.27	96.11323734	96.23844833	99.61	98.55	20.08455758	5.239831142
SampleA06	0.04180788	0.113425792	93.24	84.26801577	15.65167565	0.030829037	2.526824726	0.262206447	1.344146474	91.19	21.03	92.11572181	95.55931169	99.4	97.75	4.13542557	2.151503033
SampleA07	0.05164148	0.10051344	79.78	93.13580496	6.833887427	0.016979222	1.412936815	0.130453812	0.962486236	91.21	18.81	95.94049061	96.60775735	99.58	98.6	14.64358442	4.748798698
SampleA08	0.040978809	0.073365154	76.89	90.36300736	9.596625415	0.021849845	1.955294905	0.196404895	1.26232689	90.41	17.36	94.49461229	96.12908753	99.43	98.02	16.29185171	5.612009207
SampleA09	0.048216655	0.091616319	76.23	94.09171776	5.881807881	0.015985311	1.247627614	0.107808404	0.838866096	92.23	19.21	96.30039006	96.82905982	99.62	98.67	17.37520956	5.50703592
SampleA10	0.077255064	0.091558695	78.38	93.50995006	6.461514074	0.015918454	1.267404606	0.117853144	0.8437702	93.27	24.3	96.02017418	97.42608851	99.61	98.62	14.67248593	6.138639017
SampleA11	0.040023627	0.119669312	89.45	87.19888807	12.75281563	0.026299594	2.246507733	0.252725268	1.416143252	92.2	27.04	93.09034754	96.92611901	99.28	97.88	6.238805274	3.709666424
SampleA12	0.047326661	0.076277994	72.56	92.57409422	7.393610972	0.01956177	1.594102661	0.14749637	1.069960687	91.42	16.64	95.33747253	96.56883069	99.5	98.29	20.16558794	6.033166832
SampleB01	0.044305532	0.08895415	78.94	92.98823343	6.980790964	0.018162447	1.392430354	0.126354785	0.944959209	91.54	19.21	95.81120491	96.82747984	99.57	98.55	15.14157774	5.060435
SampleB02	0.050919286	0.140749951	94.78	82.55493549	17.36026195	0.033829737	2.524026993	0.286601435	1.384561609	90.44	21.97	91.32151887	95.92249699	99.34	97.5	3.062097269	1.77238379
SampleB03	0.036509445	0.142246517	95.03	81.90311692	18.00397388	0.03604694	2.777144483	0.312650795	1.53551253	90.35	20.43	90.86006176	95.47063791	99.27	97.37	2.936064871	1.644310662
SampleB04	0.041142086	0.078708375	80.71	91.12946714	8.828053415	0.019848466	1.639978391	0.150211873	1.01079909	90.75	18.22	95.20915327	96.26022144	99.56	98.38	13.66797825	4.716008082
SampleB05	0.042443558	0.132354485	94.38	77.8880197	22.00945064	0.039074621	3.354342117	0.40574222	1.752750995	89.46	17.56	88.9074695	94.94580307	99.11	96.7	3.204965226	1.902009797
SampleB06	0.064645576	0.082331175	76.62	91.47581453	8.483796432	0.021666582	1.734987244	0.155257552	1.092399141	91.31	16.2	95.07516727	96.16144186	99.51	98.28	17.01154372	5.230482919
SampleB07	0.06535141	0.08694772	78.42	93.04986637	6.917662083	0.016926103	1.373475507	0.120447354	0.884676231	92.28	20.61	95.96865278	96.81558354	99.6	98.62	15.2738137	5.443279158
SampleB08	0.048432396	0.110918713	89.84	88.56901901	11.37591443	0.022339764	1.83303046	0.188604959	1.068717547	91.42	23.82	94.23588605	96.52505025	99.51	98.29	6.447281926	3.178516926
SampleB09	0.053378267	0.069763282	75.79	90.62507885	9.331203886	0.021666097	1.821838115	0.172922892	1.099725818	90.38	15.85	94.78440791	95.89360843	99.51	98.16	17.47700046	5.492518053
SampleB10	0.042032333	0.082396369	76.13	93.07774704	6.890565544	0.017985082	1.491215985	0.134738733	1.010699217	91.72	19.32	95.81912995	96.72786475	99.54	98.51	17.1568005	5.735984325
SampleB11	0.04838139	0.074815925	79.94	90.53654458	9.420705494	0.022137753	1.967365269	0.172457289	1.246373735	90.94	19.45	94.70190925	96.2308376	99.41	98.18	13.83449881	5.210219083
SampleB12	0.090993383	0.094232799	82.83	89.03844289	10.91065895	0.023705602	2.124076902	0.207123637	1.28067744	90.49	17.09	94.16591092	95.91594968	99.4	98.13	11.91639703	4.29574263
SampleC01	0.044810897	0.139949714	95.36	80.30904643	19.59320546	0.036516219	2.726710974	0.315546456	1.457158652	91.18	23.25	89.9774035	95.78385157	99.29	97.11	2.5681812	1.697080337
SampleC02	0.049911416	0.099231554	78.65	92.41467985	7.550046752	0.018268436	1.617433814	0.145847961	1.069130833	91.15	18.09	95.56564463	96.38913503	99.51	98.45	15.4229825	4.986191525
SampleC03	0.069348405	0.080722399	79.41	91.45779312	8.49901705	0.018529637	1.585926359	0.132383375	0.959365568	90.13	16.49	95.40515257	96.0287813	99.58	98.45	14.97732768	4.654169663
SampleC04	0.046581271	0.079463939	77.81	92.19233913	7.770975961	0.017309971	1.453779056	0.125318302	0.919913936	90.41	17.81	95.5143652	96.36503014	99.6	98.41	16.03664604	5.164416377
SampleC05	0.04268333	0.103447715	88.16	86.43651126	13.49754955	0.02534342	2.162740986	0.21771869	1.149253205	89.3	16.85	93.58014215	95.51524987	99.48	97.97	7.952963165	3.169670447
SampleC06	0.047878415	0.099127819	79.13	93.67082759	6.297926518	0.015869481	1.311215883	0.107069136	0.872072929	92.59	21.57	96.11645844	97.06242327	99.6	98.67	14.71132784	5.360600156
SampleC07	0.069072027	0.13346411	93.97	78.45350936	21.43773617	0.038386859	3.412880796	0.391289677	1.798135359	89.55	17.6	88.9379923	94.80381174	99.09	96.76	3.460404241	2.010924985
SampleC08	0.06634462	0.071688174	79.49	88.22230729	11.71594385	0.024399663	2.138040743	0.184303418	1.172976265	90.14	13.96	93.93345903	95.17092496	99.48	98.03	14.60216598	4.684021054
SampleC09	0.045805541	0.087715991	78.69	92.90517205	7.059808447	0.017160414	1.436825426	0.117078813	0.916201316	91.75	19.31	95.85473157	96.68664664	99.58	98.6	15.29202176	5.142808471
SampleC10	0.054608906	0.09267484	81.13	91.55513637	8.403446194	0.019503512	1.740104127	0.139423394	1.113280195	91.12	19.77	95.1154778	96.3926244	99.49	98.35	13.16232037	4.813963214
SampleC11	0.045762884	0.119679682	93.64	80.03597143	19.86365798	0.035880027	3.093821337	0.322630126	1.613533022	89.92	20.78	89.7505237	95.26563761	99.22	97.08	3.615877971	2.208889846
SampleC12	0.05310536	0.109749349	84.98	91.17324156	8.784971595	0.019101434	1.633159023	0.149169538	1.015445085	92.13	21.03	95.16372412	96.74808544	99.52	98.44	10.27337162	4.055922435
SampleD01	0.04589712	0.143790825	94.75	83.14820677	16.77283867	0.03180484	7.361779757	0.338485463	4.819819933	91.55	20.74	90.30857841	93.72258168	95.32	97.42	3.121494658	1.671861874
