SEQUENCE_ID	SAMPLE_ID
SampleA01	SampleA01
SampleA02	SampleA02
SampleA03	SampleA03
SampleA04	SampleA04
SampleA05	SampleA05
SampleA06	SampleA06
SampleA07	SampleA07
SampleA08	SampleA08
SampleA09	SampleA09
SampleA10	SampleA10
SampleA11	SampleA11
SampleA12	SampleA12
SampleB01	SampleB01
SampleB02	SampleB02
SampleB03	SampleB03
SampleB04	SampleB04
SampleB05	SampleB05
SampleB06	SampleB06
SampleB07	SampleB07
SampleB08	SampleB08
SampleB09	SampleB09
SampleB10	SampleB10
SampleB11	SampleB11
SampleB12	SampleB12
SampleC01	SampleC01
SampleC02	SampleC02
SampleC03	SampleC03
SampleC04	SampleC04
SampleC05	SampleC05
SampleC06	SampleC06
SampleC07	SampleC07
SampleC08	SampleC08
SampleC09	SampleC09
SampleC10	SampleC10
SampleC11	SampleC11
SampleC12	SampleC12
SampleD01	SampleD01
SampleD02	SampleD02
SampleD03	SampleD03
SampleD04	SampleD04
SampleD05	SampleD05
SampleD06	SampleD06
SampleD07	SampleD07
SampleD08	SampleD08
SampleD09	SampleD09
SampleD10	SampleD10
SampleD11	SampleD11
SampleD12	SampleD12
SampleE01	SampleE01
SampleE02	SampleE02
SampleE03	SampleE03
SampleE04	SampleE04
SampleE05	SampleE05
SampleE06	SampleE06
SampleE07	SampleE07
SampleE08	SampleE08
SampleE09	SampleE09
SampleE10	SampleE10
SampleE11	SampleE11
SampleE12	SampleE12
SampleF01	SampleF01
SampleF02	SampleF02
SampleF03	SampleF03
SampleF04	SampleF04
SampleF05	SampleF05
SampleF06	SampleF06
SampleF07	SampleF07
SampleF08	SampleF08
SampleF09	SampleF09
SampleF10	SampleF10
SampleF11	SampleF11
SampleF12	SampleF12
SampleG01	SampleG01
SampleG02	SampleG02
SampleG03	SampleG03
SampleG04	SampleG04
SampleG05	SampleG05
SampleG06	SampleG06
SampleG07	SampleG07
SampleG08	SampleG08
SampleG09	SampleG09
SampleG10	SampleG10
SampleG11	SampleG11
SampleG12	SampleG12
SampleH01	SampleH01
SampleH02	SampleH02
SampleH03	SampleH03
