Species,ID,Treatment,DayOfExposure,DayOfMortality,DayOfSacrifice,DaysPostExposure,SacrificedForGenetics?,RawBdLoad,AdjustedBdLoad,HistoScore
Bullfrog,4,SectionLine,10/13/14,10/16/14,3,3,Y,0.17,27.2,
Bullfrog,9,Carter,11/3/14,11/6/14,3,3,Y,0.23,36.8,0
Bullfrog,11,Control,10/13/14,10/20/14,7,7,Y,0,0,0
Bullfrog,15,Control,10/13/14,10/23/14,10,10,Y,0,0,0
Bullfrog,23,Control,10/13/14,10/16/14,3,3,Y,0,0,
Bullfrog,30,Carter,11/3/14,11/6/14,3,3,Y,0.82,131.2,0
Bullfrog,36,Carter,11/3/14,11/6/14,3,3,Y,2.67,427.2,0
Bullfrog,37,SectionLine,10/13/14,10/23/14,10,10,Y,0,0,0
Bullfrog,43,Control,10/13/14,10/23/14,10,10,Y,0,0,0
Bullfrog,44,Control,10/13/14,10/23/14,10,10,Y,0,0,0
Bullfrog,45,Control,10/13/14,10/16/14,3,3,Y,0,0,
Bullfrog,46,SectionLine,10/13/14,10/23/14,10,10,Y,0,0,0
Bullfrog,47,SectionLine,10/13/14,10/16/14,3,3,Y,0.12,19.2,
Bullfrog,48,SectionLine,10/13/14,10/16/14,3,3,Y,6.23,996.8,
Bullfrog,53,Control,10/13/14,10/20/14,7,7,Y,0,0,0
Bullfrog,59,Untreated,,11/2/14,,NA,N,0,0,0
Bullfrog,60,Carter,11/3/14,11/6/14,3,3,Y,0.28,44.8,1.9
Bullfrog,62,SectionLine,10/13/14,10/24/14,,11,N,0,0,0
Bullfrog,63,SectionLine,10/13/14,10/23/14,10,10,Y,0,0,
Bullfrog,64,SectionLine,10/13/14,10/23/14,10,10,Y,0.076667,12.26672,0
Bullfrog,68,Control,10/13/14,10/23/14,10,10,Y,0,0,0
Bullfrog,73,Control,10/13/14,11/4/14,,22,N,0,0,0
Bullfrog,79,SectionLine,10/13/14,10/20/14,7,7,Y,0,0,0
Bullfrog,81,SectionLine,10/13/14,10/20/14,7,7,Y,0,0,0
Bullfrog,83,Carter,11/3/14,11/6/14,3,3,Y,7.05,1128,2.26
Bullfrog,84,SectionLine,10/13/14,10/20/14,7,7,Y,0,0,0
Bullfrog,85,SectionLine,10/13/14,10/20/14,7,7,Y,0,0,0
Bullfrog,86,Control,10/13/14,10/20/14,7,7,Y,0,0,0
